timestamp,assistingParticipantIds,bounty,killStreakLength,killerId,position,shutdownBounty,victimDamageDealt,victimDamageReceived,victimId
199174,[6],400.0,0.0,7.0,"{'x': 2966, 'y': 12458}",0.0,"[{'basic': False, 'magicDamage': 0, 'name': 'Urgot', 'participantId': 6, 'physicalDamage': 41, 'spellName': 'urgotw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}]","[{'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 84, 'spellName': 'poppye', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 28, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 53, 'spellName': 'poppypassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 88, 'spellName': 'poppyq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 0, 'spellName': 'poppyw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 96, 'spellName': 'poppybasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 0, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 0, 'spellName': 'burning', 'spellSlot': -1, 'trueDamage': 3, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 46, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 0, 'spellName': 'kindredw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 103, 'spellName': 'kindredpassivemanager', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 32, 'spellName': 'kindredq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 41, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 142, 'spellName': 'kindrede', 'spellSlot': 47, 'trueDamage': 0, 'type': 'OTHER'}]",1.0
224456,[10],300.0,0.0,9.0,"{'x': 11077, 'y': 1044}",0.0,"[{'basic': True, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 9, 'physicalDamage': 55, 'spellName': 'ashebasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}]","[{'basic': False, 'magicDamage': 116, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonasunlightpassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 39, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonazenithblade', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 31, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 148, 'spellName': 'leonabasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 8, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 46, 'spellName': 'leonashieldofdaybreak', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'summonerdot', 'spellSlot': 5, 'trueDamage': 88, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 43, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonasolarbarrier', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 9, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 130, 'spellName': 'samirapassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 50, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 0, 'spellName': 'samirae', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 8, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 49, 'spellName': 'samirapassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 8, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 52, 'spellName': 'samiraq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 19, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 59, 'spellName': 'samiraw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 67, 'spellName': 'samirabasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}]",4.0
277877,,300.0,1.0,7.0,"{'x': 9630, 'y': 4770}",0.0,"[{'basic': True, 'magicDamage': 0, 'name': 'Graves', 'participantId': 7, 'physicalDamage': 222, 'spellName': 'gravesbasicattack', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 48, 'name': 'Graves', 'participantId': 7, 'physicalDamage': 0, 'spellName': 'gravessmokegrenade', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}]","[{'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 88, 'spellName': 'kindredq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 0, 'spellName': 'burning', 'spellSlot': -1, 'trueDamage': 20, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 124, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 0, 'spellName': 'kindredw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 118, 'spellName': 'kindredewrapper', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 437, 'spellName': 'kindredpassivemanager', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 40, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}]",2.0
389957,[7],300.0,0.0,8.0,"{'x': 6548, 'y': 6514}",0.0,"[{'basic': False, 'magicDamage': 78, 'name': 'Xerath', 'participantId': 7, 'physicalDamage': 0, 'spellName': 'xeratharcanebarrage2', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 148, 'name': 'Xerath', 'participantId': 8, 'physicalDamage': 0, 'spellName': 'xeratharcanopulsechargeup', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}]","[{'basic': False, 'magicDamage': 134, 'name': 'Viktor', 'participantId': 8, 'physicalDamage': 0, 'spellName': 'viktordeathray', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Viktor', 'participantId': 8, 'physicalDamage': 0, 'spellName': 'viktorgravitonfield', 'spellSlot': 1, 'trueDamage': 42, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Viktor', 'participantId': 8, 'physicalDamage': 44, 'spellName': 'viktorbasicattack2', 'spellSlot': 65, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 154, 'name': 'Viktor', 'participantId': 8, 'physicalDamage': 0, 'spellName': 'viktorpowertransfer', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Viktor', 'participantId': 8, 'physicalDamage': 48, 'spellName': 'viktorbasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 19, 'name': 'Viktor', 'participantId': 8, 'physicalDamage': 0, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 311, 'name': 'Viktor', 'participantId': 8, 'physicalDamage': 0, 'spellName': 'viktorchaosstorm', 'spellSlot': 3, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 31, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 0, 'spellName': 'kindredw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 242, 'spellName': 'kindredpassivemanager', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Kindred', 'participantId': 7, 'physicalDamage': 49, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}]",3.0
531967,"[4, 5]",300.0,0.0,2.0,"{'x': 11878, 'y': 1520}",0.0,"[{'basic': False, 'magicDamage': 10, 'name': 'Samira', 'participantId': 4, 'physicalDamage': 190, 'spellName': 'samiraq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 18, 'name': 'Samira', 'participantId': 4, 'physicalDamage': 21, 'spellName': 'samirapassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 40, 'name': 'Samira', 'participantId': 4, 'physicalDamage': 0, 'spellName': 'samirae', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Samira', 'participantId': 4, 'physicalDamage': 70, 'spellName': 'samirabasicattack2', 'spellSlot': 65, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 29, 'name': 'Samira', 'participantId': 4, 'physicalDamage': 107, 'spellName': 'samiraw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}]","[{'basic': False, 'magicDamage': 143, 'name': 'Yuumi', 'participantId': 5, 'physicalDamage': 0, 'spellName': '', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 40, 'name': 'Yuumi', 'participantId': 5, 'physicalDamage': 0, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Yuumi', 'participantId': 5, 'physicalDamage': 0, 'spellName': 'summonerdot', 'spellSlot': 5, 'trueDamage': 136, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 69, 'name': 'Yuumi', 'participantId': 5, 'physicalDamage': 0, 'spellName': 'yuumir', 'spellSlot': 3, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'SRU_OrderMinionRanged', 'participantId': 0, 'physicalDamage': 39, 'spellName': 'sru_orderminionrangedbasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'MINION'}, {'basic': True, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 4, 'physicalDamage': 74, 'spellName': 'ashebasicattack2', 'spellSlot': 65, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 4, 'physicalDamage': 177, 'spellName': 'ashebasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 44, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 0, 'spellName': 'gravessmokegrenade', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 0, 'spellName': 'burning', 'spellSlot': -1, 'trueDamage': 10, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 245, 'spellName': 'gravesbasicattack', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 225, 'spellName': 'gravesqlinespell', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}]",9.0
542801,"[4, 5]",300.0,1.0,2.0,"{'x': 11098, 'y': 3994}",0.0,"[{'basic': False, 'magicDamage': 1, 'name': 'Leona', 'participantId': 2, 'physicalDamage': 0, 'spellName': 'leonazenithblade', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 8, 'name': 'Leona', 'participantId': 2, 'physicalDamage': 42, 'spellName': 'leonashieldofdaybreak', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 48, 'name': 'Leona', 'participantId': 2, 'physicalDamage': 0, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 91, 'name': 'Leona', 'participantId': 2, 'physicalDamage': 0, 'spellName': 'leonasolarbarrier', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 8, 'name': 'Leona', 'participantId': 4, 'physicalDamage': 47, 'spellName': 'leonashieldofdaybreak', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Leona', 'participantId': 4, 'physicalDamage': 47, 'spellName': 'leonabasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 53, 'name': 'Leona', 'participantId': 4, 'physicalDamage': 0, 'spellName': 'leonasunlightpassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}]","[{'basic': True, 'magicDamage': 0, 'name': 'SRU_OrderMinionRanged', 'participantId': 0, 'physicalDamage': 8, 'spellName': 'sru_orderminionrangedbasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'MINION'}, {'basic': True, 'magicDamage': 0, 'name': 'SRU_OrderMinionRanged', 'participantId': 0, 'physicalDamage': 16, 'spellName': 'sru_orderminionrangedbasicattack2', 'spellSlot': 65, 'trueDamage': 0, 'type': 'MINION'}, {'basic': False, 'magicDamage': 12, 'name': 'Ashe', 'participantId': 5, 'physicalDamage': 0, 'spellName': '', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 55, 'name': 'Ashe', 'participantId': 5, 'physicalDamage': 0, 'spellName': 'yuumir', 'spellSlot': 3, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 4, 'physicalDamage': 401, 'spellName': 'ashebasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 4, 'physicalDamage': 147, 'spellName': 'asheq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 4, 'physicalDamage': 51, 'spellName': 'ashebasicattack2', 'spellSlot': 65, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 0, 'spellName': 'burning', 'spellSlot': -1, 'trueDamage': 33, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 435, 'spellName': 'gravesbasicattack', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 153, 'spellName': 'gravesqlinespell', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}]",10.0
560650,,274.0,0.0,6.0,"{'x': 825, 'y': 10447}",0.0,,"[{'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 75, 'spellName': 'poppye', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 31, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 0, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 6, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 0, 'spellName': 'itemdarkcrystalflask', 'spellSlot': 6, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 60, 'spellName': 'poppyr', 'spellSlot': 3, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 131, 'spellName': 'poppyq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Poppy', 'participantId': 6, 'physicalDamage': 50, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}]",1.0
599573,[10],300.0,0.0,9.0,"{'x': 11733, 'y': 2220}",0.0,"[{'basic': False, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 9, 'physicalDamage': 108, 'spellName': 'volley', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Ashe', 'participantId': 9, 'physicalDamage': 75, 'spellName': 'ashebasicattack2', 'spellSlot': 65, 'trueDamage': 0, 'type': 'OTHER'}]","[{'basic': True, 'magicDamage': 0, 'name': 'SRU_ChaosMinionRanged', 'participantId': 0, 'physicalDamage': 11, 'spellName': 'sru_chaosminionrangedbasicattack2', 'spellSlot': 65, 'trueDamage': 0, 'type': 'MINION'}, {'basic': False, 'magicDamage': 142, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonasunlightpassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 38, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonazenithblade', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 49, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 46, 'spellName': 'leonabasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 8, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 46, 'spellName': 'leonashieldofdaybreak', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'summonerdot', 'spellSlot': 5, 'trueDamage': 90, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 93, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonasolarbarrier', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 198, 'spellName': 'samirabasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 16, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 104, 'spellName': 'samirapassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 69, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 0, 'spellName': 'samirae', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 22, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 84, 'spellName': 'samirapassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 111, 'spellName': 'samiraq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 59, 'spellName': 'samiraw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}]",4.0
603979,[10],300.0,1.0,9.0,"{'x': 10607, 'y': 1325}",0.0,,"[{'basic': False, 'magicDamage': 97, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonasolarbarrier', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 98, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 0, 'spellName': 'leonasunlightpassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 45, 'spellName': 'leonabasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 8, 'name': 'Leona', 'participantId': 10, 'physicalDamage': 45, 'spellName': 'leonashieldofdaybreak', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 14, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 59, 'spellName': 'samiraw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 456, 'spellName': 'samirar', 'spellSlot': 3, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Samira', 'participantId': 9, 'physicalDamage': 122, 'spellName': 'samiraq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}]",5.0
611760,"[1, 3]",300.0,2.0,2.0,"{'x': 4102, 'y': 9964}",150.0,,"[{'basic': True, 'magicDamage': 0, 'name': 'SRU_Blue', 'participantId': 0, 'physicalDamage': 349, 'spellName': 'sru_bluebasicattack', 'spellSlot': 64, 'trueDamage': 0, 'type': 'MONSTER'}, {'basic': True, 'magicDamage': 0, 'name': 'Xerath', 'participantId': 3, 'physicalDamage': 50, 'spellName': 'xerathascended2', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 96, 'name': 'Xerath', 'participantId': 3, 'physicalDamage': 0, 'spellName': 'xerathmagespear', 'spellSlot': 2, 'trueDamage': 8, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Urgot', 'participantId': 1, 'physicalDamage': 110, 'spellName': 'urgotq', 'spellSlot': 0, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Urgot', 'participantId': 1, 'physicalDamage': 97, 'spellName': 'urgote', 'spellSlot': 2, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Urgot', 'participantId': 1, 'physicalDamage': 147, 'spellName': 'urgotpassive', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Urgot', 'participantId': 1, 'physicalDamage': 149, 'spellName': 'urgotw', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 0, 'name': 'Urgot', 'participantId': 1, 'physicalDamage': 61, 'spellName': '', 'spellSlot': -1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': False, 'magicDamage': 47, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 0, 'spellName': 'gravessmokegrenade', 'spellSlot': 1, 'trueDamage': 0, 'type': 'OTHER'}, {'basic': True, 'magicDamage': 0, 'name': 'Graves', 'participantId': 2, 'physicalDamage': 71, 'spellName': 'gravesbasicattack', 'spellSlot': 63, 'trueDamage': 0, 'type': 'OTHER'}]",7.0
