timestamp,participantId,level
111318,7.0,2.0
111784,2.0,2.0
127155,8.0,2.0
134466,6.0,2.0
135831,1.0,2.0
136766,9.0,2.0
136766,10.0,2.0
141674,4.0,2.0
141674,5.0,2.0
145249,3.0,2.0
150815,7.0,3.0
157357,8.0,3.0
158161,2.0,3.0
166409,3.0,3.0
166910,1.0,3.0
183701,6.0,3.0
191819,1.0,4.0
196532,4.0,3.0
196532,5.0,3.0
198237,3.0,4.0
200545,8.0,4.0
202147,9.0,3.0
202147,10.0,3.0
211758,6.0,4.0
255858,1.0,5.0
262061,5.0,4.0
269263,3.0,5.0
269596,8.0,5.0
269830,6.0,5.0
277877,7.0,4.0
296602,9.0,4.0
313488,4.0,4.0
316531,10.0,4.0
334082,8.0,6.0
337950,1.0,6.0
349806,6.0,6.0
353613,2.0,4.0
354648,3.0,6.0
369761,5.0,5.0
380649,9.0,5.0
389957,7.0,5.0
398466,10.0,5.0
414397,2.0,5.0
415164,6.0,7.0
421038,4.0,5.0
435546,3.0,7.0
438719,8.0,7.0
459268,1.0,7.0
460169,5.0,6.0
483253,9.0,6.0
489654,8.0,8.0
489654,7.0,6.0
522128,6.0,8.0
542801,4.0,6.0
547902,3.0,8.0
548103,1.0,8.0
560650,6.0,9.0
566153,2.0,6.0
583553,7.0,7.0
589946,5.0,7.0
603979,9.0,7.0
603979,10.0,6.0
604412,8.0,9.0
623665,3.0,9.0
634678,2.0,7.0
646621,4.0,7.0
678494,6.0,10.0
688333,1.0,9.0
701508,3.0,10.0
709327,4.0,8.0
711229,10.0,7.0
733790,9.0,8.0
747432,8.0,10.0
748065,1.0,10.0
778258,2.0,8.0
836094,7.0,8.0
838165,9.0,9.0
840228,5.0,8.0
843492,4.0,9.0
851734,6.0,11.0
860736,1.0,11.0
864072,7.0,9.0
875378,8.0,11.0
888610,10.0,8.0
900961,2.0,9.0
905708,3.0,11.0
929481,9.0,10.0
970493,7.0,10.0
1011381,2.0,10.0
1030605,5.0,9.0
1030937,1.0,12.0
1032340,3.0,12.0
1034271,4.0,10.0
1040864,9.0,11.0
1052075,6.0,12.0
1052641,8.0,12.0
1074766,10.0,9.0
1106881,9.0,12.0
1167443,7.0,11.0
1177337,4.0,11.0
1194548,8.0,13.0
1207812,2.0,11.0
1207846,1.0,13.0
1207846,5.0,10.0
1247674,7.0,12.0
1263467,6.0,13.0
1275883,10.0,10.0
1291940,9.0,13.0
1295011,8.0,14.0
1299290,3.0,13.0
1334799,4.0,12.0
1362239,6.0,14.0
1362239,7.0,13.0
1385217,1.0,14.0
1422481,2.0,12.0
1457971,4.0,13.0
1457971,5.0,11.0
1467153,10.0,11.0
1495929,3.0,14.0
1533158,6.0,15.0
1533158,7.0,14.0
1533158,8.0,15.0
1533158,9.0,14.0
1544625,2.0,13.0
1556004,10.0,12.0
1608534,9.0,15.0
1615653,5.0,12.0
