,0
0,rOra4jm75Nj0y4-_7D7MVRfiBlpBXhpSonyI0rwwFacc0uV9fg2HC7PgC_nNJZ1WCXFL_EfTBrDLwQ
1,Cw5DTp0JHNYPKCvhFtw17wdGaFimvHUUckg4Fx8w2ZvYK7v9_mZtKHDOpInEGjGO5-5FZzFna-dDHg
2,ox60Cqe2-_wa_jLEVoy241kruFzWrD12QJd-RkxeBP5Mt3Kx5GA54dhPgfDTVtYnH7XbneQFgNi8aQ
3,RHZ59BUcE3vQxkwW_6x1sDkSXAjD9iR50Exf1nWDYYOzJdtpolEijub4KBwiqxamQYxUCfsRz2Ub9w
4,wwCb2LqGsnZUzOMCfC-YdN4tLb2SuPOwhw6yWPezsU9vG7FKoMGkazxBeWG_ebFYsynU6uQ70fqBuw
5,lnMmSlO27sHd6L0HgrYS5ivq8XMQDocSZytgMXsqMeu0dg3BiGxzfH7DGxAcBpuFpUDFIoDylKtvCg
6,rM1y8szWrtdn5qzlF-EA6S1jGpsZ65OC_4_6eaqmP26I5C8y2G-Z8wyqAc3G6RLCfJ9hTBBkSGMLFA
7,wylRJstyPPKMByoq_c4X59sItxo_Qhje0gXRZfQyl__YAa4O8OsjRhWpaNWTJ_byPdoLhalGzyyf3A
8,aFC0kPZY3mGhs0c-MT5blLeSuKiGzr9E9HJI9xEETp6piIgvNdYzx_xWo8f7emBqSmP_C6chMaVrvg
9,QH2QxpwEEEd0_BMQq1iydfZkVpVhDtCwe7QYeyNwd1vv5BWKJmlv2oYQuo_6phOOBKwB6U4ir6f2zA
10,4aoPz1JnVaW0nY9N3rC-TwPR_5OORYX56Gpn2HDwe07bxrnT8yBIa1pof8FgL-eZ8aYGA9hYc8S8nQ
11,vRz9RPnMQ7uwkTVnNBZEF0F2ghwP9T_Xs_3hxKBdVrb4w0RSk3BTmbkGd4K866TivqC0G_9aVKJhwg
12,H6QXkKzG7TgF524kZ0MNrcoMml3eune4IKVJAUY35ohjOaRQLy9sADkuglaW1DioYddX91wMjfBrPg
13,dwHeQMe87Gk51H_Kt_l5liaL4DZzgvKHqq-JKh0nOAQr2NxgCYInHS_0nETXwnJi7bZyneH_2wa9EA
14,DkxQ68jV6rb6hysTEyTCqXVkhUmKENbxANRA_zFWFzIwBHC2SmaRKX0ROqscFWaHgIeOR4W1iZQYgQ
15,lzT0So0sqFsQwqoMaIZEOdUeE7mTv7arTZ3S2fAdLAWkOb3-Hb__sd7HmgkWQuIzVD89R1hvnV_gJw
16,ITZZG7kk0Mas2xl7Jjwn9x8Ag1zl2m-2J700qB-SFsitWWgK8hJaXPIJh-ZPVPrKicy8XXux1fsnQw
17,pSliE-6MJZQZJ1LxGAR7yHdzwV86M9a8Ioa9ag20kL_bkga1Ve6ziEJeGx4XYG8i82Y7Es-_OrBCZA
18,esNmP-koa3RwY93MUS-6P7yYx1YvA3KUB6232zT5SF3WzUD-E1lOqDq-0uwShYT3IlGJ6MIh4piYKw
19,86n-VeifcqXCuziCU_3rTLrFHttMOh1wG3hrUtA33NBeYdP4cVH03orXVS0MIUE4yTG4oxaCnLqPrg
